	model	quantization	file	version	input_tokens	max_length	time	output_tokens	lloc	primary_errors_rank	secondary_errors_index	commented_lines	cyclomatic_complexity_index	halstead_volume	maintainability_index	syntax_error	loop	partial_code	primary_error_text
0	CodeQwen1.5-7B-Chat	Q16	file_1	v1	909.0	3636.0	50.12	1742.0	7.0	Good	0.05	11.9	14.3	0.0	100.0		False	False	"Undefined variable 'spark'
Undefined variable 'df_sa_to_insert'
Undefined variable 'DDWH01_DW'
Undefined variable 'to_date'
Undefined variable 'SYSDATE'
Undefined variable 'p_ELT_ID_BATCH'
Undefined variable 'n_ELT_ID_JOB_LOG'
"
1	CodeQwen1.5-7B-Chat	Q16	file_2	v1	1247.0	4988.0	65.4	2534.0	28.0	Good	0.03	14.5	3.6	72.3	77.3		False	False	"Using variable 'main_df' before assignment
Undefined variable 'pyspark'
"
2	CodeQwen1.5-7B-Chat	Q16	file_3	v1	1992.0	7968.0	92.7	3935.0								"  File ""<unknown>"", line 25
    .filter((PLBR_PLANT_BRANCHES.PLBR_DS_PLANT_SEGMENT == ""AG"") |
           ^
SyntaxError: '(' was never closed
"	False	False	
3	CodeQwen1.5-7B-Chat	Q16	file_4	v1	2607.0	10428.0	155.72	5154.0	7.0	Poor	0.01	3.8	14.3	167.2	77.5		False	False	"Undefined variable 'spark'
"
4	CodeQwen1.5-7B-Chat	Q16	file_5	v1	4384.0	17536.0	181.62	7946.0	14.0	Poor	0.04	4.8	7.1	59.5	75.6		False	False	"Duplicate key 'inol_cd_progressive_order' in dictionary
Duplicate key 'inol_cd_progressive_order' in dictionary
Undefined variable 'inol_id_vele_vcl_legacy'
Undefined variable 'inol_cd_cmm_doc_code'
Undefined variable 'delta'
Undefined variable 'inol'
Undefined variable 'vele'
Undefined variable 'inol_cd_cmm_doc_pos_code'
"
5	CodeQwen1.5-7B-Chat	Q16	file_6	v1	5810.0	23240.0	168.51	8461.0								"  File ""<unknown>"", line 122
    df = df.withColumn(""EKPO_KEY_STC"",
                      ^
SyntaxError: '(' was never closed
"	False	False	
6	CodeQwen1.5-7B-Chat	Q16	file_1	v2	999.0	3996.0	48.04	1917.0	11.0	Good	0.05	14.0	9.1	23.3	89.2		False	False	"Undefined variable 'spark'
"
7	CodeQwen1.5-7B-Chat	Q16	file_2	v2	1337.0	5348.0	65.21	2721.0	6.0	Poor	0.02	7.1	16.7	38.0	87.7		False	False	"No name 'nextval' in module 'pyspark.sql.functions'
Undefined variable 'substring'
Undefined variable 'when'
"
8	CodeQwen1.5-7B-Chat	Q16	file_3	v2	2082.0	8328.0	103.43	3900.0	10.0	Good	0.01	2.4	10.0	28.5	77.3		False	False	
9	CodeQwen1.5-7B-Chat	Q16	file_4	v2	2697.0	10788.0	263.59	5182.0	20.0	Very poor	0.01	5.3	5.0	104.2	71.1		False	False	"Module 'pyspark.sql.functions' has no 'next_sequence' member
Undefined variable 'spark'
Undefined variable 'n_ELT_ID_JOB_LOG'
"
10	CodeQwen1.5-7B-Chat	Q16	file_5	v2	4474.0	17896.0	260.9	8922.0	91.0	Extremely poor	0.0	1.9	8.8	575.2	45.1		False	False	"Undefined variable 'lit'
"
